arm,checkpoint,K,ceiling_speedup,actual_speedup,actual_per_slot_accept,target_speedup,reachable,required_per_slot_accept,required_mean_committed,required_full_block_rate,required_tpf
A,step-4800,4,2.0749,1.1315,0.3266,1.75,True,0.8562,4.2171,0.6277,2.1086
A,step-4800,4,2.0749,1.1315,0.3266,2.0,True,0.9693,4.8196,0.9107,2.4098
A,step-4800,8,3.375,1.0861,0.1554,1.1,True,0.4843,2.9334,0.0063,1.4667
A,step-4800,8,3.375,1.0861,0.1554,1.2,True,0.5492,3.2,0.0151,1.6
A,step-4800,8,3.375,1.0861,0.1554,1.3,True,0.6015,3.4667,0.0285,1.7333
A,step-4800,8,3.375,1.0861,0.1554,1.5,True,0.6823,4.0,0.0689,2.0
A,step-4800,8,3.375,1.0861,0.1554,1.75,True,0.7565,4.6667,0.1419,2.3334
A,step-4800,8,3.375,1.0861,0.1554,2.0,True,0.8135,5.3334,0.2358,2.6667
A,step-6400,2,1.3404,1.0999,0.6107,1.1,True,0.4619,2.4619,0.4619,1.231
A,step-6400,2,1.3404,1.0999,0.6107,1.2,True,0.6857,2.6857,0.6857,1.3429
A,step-6400,2,1.3404,1.0999,0.6107,1.3,True,0.9095,2.9095,0.9095,1.4548
A,step-6400,2,1.3404,1.0999,0.6107,1.5,False,,,,
A,step-6400,2,1.3404,1.0999,0.6107,1.75,False,,,,
A,step-6400,2,1.3404,1.0999,0.6107,2.0,False,,,,
A,step-6400,4,2.081,1.1347,0.3083,1.1,True,0.4083,2.643,0.068,1.3215
A,step-6400,4,2.081,1.1347,0.3083,1.2,True,0.503,2.8833,0.1273,1.4416
A,step-6400,4,2.081,1.1347,0.3083,1.3,True,0.5838,3.1235,0.199,1.5618
A,step-6400,4,2.081,1.1347,0.3083,1.5,True,0.7181,3.6041,0.3703,1.802
A,step-6400,4,2.081,1.1347,0.3083,1.75,True,0.8537,4.2048,0.6222,2.1024
A,step-6400,4,2.081,1.1347,0.3083,2.0,True,0.9669,4.8055,0.9038,2.4027
A,step-6400,8,3.3877,1.0532,0.1388,1.1,True,0.4813,2.9223,0.006,1.4612
A,step-6400,8,3.3877,1.0532,0.1388,1.2,True,0.5466,3.188,0.0146,1.594
A,step-6400,8,3.3877,1.0532,0.1388,1.3,True,0.5992,3.4537,0.0277,1.7269
A,step-6400,8,3.3877,1.0532,0.1388,1.5,True,0.6804,3.9851,0.0675,1.9925
A,step-6400,8,3.3877,1.0532,0.1388,1.75,True,0.7549,4.6493,0.1397,2.3246
A,step-6400,8,3.3877,1.0532,0.1388,2.0,True,0.812,5.3134,0.2327,2.6567
A,step-8000,2,1.3398,1.0661,0.5866,1.1,True,0.4631,2.4631,0.4631,1.2315
A,step-8000,2,1.3398,1.0661,0.5866,1.2,True,0.687,2.687,0.687,1.3435
A,step-8000,2,1.3398,1.0661,0.5866,1.3,True,0.9109,2.9109,0.9109,1.4554
A,step-8000,2,1.3398,1.0661,0.5866,1.5,False,,,,
A,step-8000,2,1.3398,1.0661,0.5866,1.75,False,,,,
A,step-8000,2,1.3398,1.0661,0.5866,2.0,False,,,,
A,step-8000,4,2.0831,1.1355,0.3083,1.1,True,0.4071,2.6403,0.0675,1.3202
A,step-8000,4,2.0831,1.1355,0.3083,1.2,True,0.502,2.8804,0.1265,1.4402
A,step-8000,4,2.0831,1.1355,0.3083,1.3,True,0.5828,3.1204,0.198,1.5602
A,step-8000,4,2.0831,1.1355,0.3083,1.5,True,0.7172,3.6005,0.3689,1.8002
A,step-8000,4,2.0831,1.1355,0.3083,1.75,True,0.8529,4.2005,0.6203,2.1003
A,step-8000,4,2.0831,1.1355,0.3083,2.0,True,0.966,4.8006,0.9015,2.4003
A,step-8000,8,3.3811,1.0478,0.1411,1.1,True,0.4829,2.9281,0.0061,1.464
A,step-8000,8,3.3811,1.0478,0.1411,1.2,True,0.548,3.1942,0.0148,1.5971
A,step-8000,8,3.3811,1.0478,0.1411,1.3,True,0.6004,3.4604,0.0281,1.7302
A,step-8000,8,3.3811,1.0478,0.1411,1.5,True,0.6814,3.9928,0.0682,1.9964
A,step-8000,8,3.3811,1.0478,0.1411,1.75,True,0.7557,4.6583,0.1408,2.3292
A,step-8000,8,3.3811,1.0478,0.1411,2.0,True,0.8128,5.3238,0.2343,2.6619
A,step-9600,2,1.3396,1.1009,0.6237,1.1,True,0.4634,2.4634,0.4634,1.2317
A,step-9600,2,1.3396,1.1009,0.6237,1.2,True,0.6874,2.6874,0.6874,1.3437
A,step-9600,2,1.3396,1.1009,0.6237,1.3,True,0.9113,2.9113,0.9113,1.4557
A,step-9600,2,1.3396,1.1009,0.6237,1.5,False,,,,
A,step-9600,2,1.3396,1.1009,0.6237,1.75,False,,,,
A,step-9600,2,1.3396,1.1009,0.6237,2.0,False,,,,
A,step-9600,4,2.0798,1.1614,0.3293,1.1,True,0.4089,2.6445,0.0684,1.3222
A,step-9600,4,2.0798,1.1614,0.3293,1.2,True,0.5036,2.8849,0.1277,1.4424
A,step-9600,4,2.0798,1.1614,0.3293,1.3,True,0.5843,3.1253,0.1995,1.5627
A,step-9600,4,2.0798,1.1614,0.3293,1.5,True,0.7186,3.6061,0.3711,1.8031
A,step-9600,4,2.0798,1.1614,0.3293,1.75,True,0.8542,4.2071,0.6233,2.1036
A,step-9600,4,2.0798,1.1614,0.3293,2.0,True,0.9673,4.8081,0.9051,2.4041
A,step-9600,8,3.3757,1.0308,0.1528,1.1,True,0.4842,2.9327,0.0062,1.4664
A,step-9600,8,3.3757,1.0308,0.1528,1.2,True,0.5491,3.1993,0.015,1.5997
A,step-9600,8,3.3757,1.0308,0.1528,1.3,True,0.6014,3.4659,0.0285,1.733
A,step-9600,8,3.3757,1.0308,0.1528,1.5,True,0.6822,3.9992,0.0688,1.9996
A,step-9600,8,3.3757,1.0308,0.1528,1.75,True,0.7564,4.6657,0.1417,2.3328
A,step-9600,8,3.3757,1.0308,0.1528,2.0,True,0.8134,5.3323,0.2356,2.6661
A,step-11200,2,1.3406,1.1001,0.5957,1.1,True,0.4616,2.4616,0.4616,1.2308
A,step-11200,2,1.3406,1.1001,0.5957,1.2,True,0.6854,2.6854,0.6854,1.3427
A,step-11200,2,1.3406,1.1001,0.5957,1.3,True,0.9091,2.9091,0.9091,1.4546
A,step-11200,2,1.3406,1.1001,0.5957,1.5,False,,,,
A,step-11200,2,1.3406,1.1001,0.5957,1.75,False,,,,
A,step-11200,2,1.3406,1.1001,0.5957,2.0,False,,,,
A,step-11200,4,2.0789,1.1607,0.336,1.1,True,0.4094,2.6456,0.0686,1.3228
A,step-11200,4,2.0789,1.1607,0.336,1.2,True,0.504,2.8861,0.128,1.443
A,step-11200,4,2.0789,1.1607,0.336,1.3,True,0.5847,3.1266,0.1999,1.5633
A,step-11200,4,2.0789,1.1607,0.336,1.5,True,0.719,3.6076,0.3717,1.8038
A,step-11200,4,2.0789,1.1607,0.336,1.75,True,0.8546,4.2089,0.6241,2.1044
A,step-11200,4,2.0789,1.1607,0.336,2.0,True,0.9677,4.8102,0.9061,2.4051
A,step-11200,8,3.3724,1.0501,0.1534,1.1,True,0.4849,2.9356,0.0063,1.4678
A,step-11200,8,3.3724,1.0501,0.1534,1.2,True,0.5498,3.2025,0.0152,1.6012
A,step-11200,8,3.3724,1.0501,0.1534,1.3,True,0.602,3.4693,0.0287,1.7347
A,step-11200,8,3.3724,1.0501,0.1534,1.5,True,0.6827,4.0031,0.0691,2.0016
A,step-11200,8,3.3724,1.0501,0.1534,1.75,True,0.7569,4.6703,0.1423,2.3352
A,step-11200,8,3.3724,1.0501,0.1534,2.0,True,0.8138,5.3375,0.2364,2.6687
A,step-12800,2,1.3389,1.0995,0.6201,1.1,True,0.4647,2.4647,0.4647,1.2324
A,step-12800,2,1.3389,1.0995,0.6201,1.2,True,0.6888,2.6888,0.6888,1.3444
A,step-12800,2,1.3389,1.0995,0.6201,1.3,True,0.9129,2.9129,0.9129,1.4564
A,step-12800,2,1.3389,1.0995,0.6201,1.5,False,,,,
A,step-12800,2,1.3389,1.0995,0.6201,1.75,False,,,,
A,step-12800,2,1.3389,1.0995,0.6201,2.0,False,,,,
A,step-12800,4,2.0778,1.1638,0.3226,1.1,True,0.41,2.647,0.0689,1.3235
A,step-12800,4,2.0778,1.1638,0.3226,1.2,True,0.5046,2.8877,0.1285,1.4438
A,step-12800,4,2.0778,1.1638,0.3226,1.3,True,0.5853,3.1283,0.2005,1.5642
A,step-12800,4,2.0778,1.1638,0.3226,1.5,True,0.7195,3.6096,0.3725,1.8048
A,step-12800,4,2.0778,1.1638,0.3226,1.75,True,0.855,4.2112,0.6251,2.1056
A,step-12800,4,2.0778,1.1638,0.3226,2.0,True,0.9681,4.8128,0.9074,2.4064
A,step-12800,8,3.3795,1.1016,0.1553,1.1,True,0.4833,2.9295,0.0062,1.4647
A,step-12800,8,3.3795,1.1016,0.1553,1.2,True,0.5483,3.1958,0.0149,1.5979
A,step-12800,8,3.3795,1.1016,0.1553,1.3,True,0.6007,3.4621,0.0282,1.731
A,step-12800,8,3.3795,1.1016,0.1553,1.5,True,0.6816,3.9947,0.0684,1.9974
A,step-12800,8,3.3795,1.1016,0.1553,1.75,True,0.756,4.6605,0.1411,2.3303
A,step-12800,8,3.3795,1.1016,0.1553,2.0,True,0.813,5.3263,0.2347,2.6631
control,untrained,2,1.3181,0.9112,0.1667,1.1,True,0.5035,2.5035,0.5035,1.2518
control,untrained,2,1.3181,0.9112,0.1667,1.2,True,0.7311,2.7311,0.7311,1.3656
control,untrained,2,1.3181,0.9112,0.1667,1.3,True,0.9587,2.9587,0.9587,1.4794
control,untrained,2,1.3181,0.9112,0.1667,1.5,False,,,,
control,untrained,2,1.3181,0.9112,0.1667,1.75,False,,,,
control,untrained,2,1.3181,0.9112,0.1667,2.0,False,,,,
